id;description;pickup;jhi_drop;source;destination;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by
1;Cotton;2019-11-05T20:30:25;2019-11-06T02:14:30;grow;Handmade Wooden Cheese Fresh;input Naira;ONROAD;37487;2019-11-05T20:51:54;../fake-data/blob/hipster.png;image/png;false;EXE
2;web services;2019-11-05T13:04:46;2019-11-06T08:02:18;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;PICKEDUP;99583;2019-11-05T17:16:07;../fake-data/blob/hipster.png;image/png;true;iterate protocol
3;web-enabled Brand Regional;2019-11-05T21:23:39;2019-11-06T05:46:04;B2B Mouse;Junctions one-to-one;analyzing holistic;DELIVERED;69816;2019-11-06T07:33:16;../fake-data/blob/hipster.png;image/png;true;groupware
4;Credit Card Account clear-thinking Frozen;2019-11-06T06:30:04;2019-11-05T12:35:21;Group hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;DELIVERED;74957;2019-11-05T23:11:19;../fake-data/blob/hipster.png;image/png;false;transmitting Tennessee Practical Steel Shirt
5;24/7;2019-11-06T06:58:37;2019-11-06T06:31:17;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;PICKEDUP;60617;2019-11-06T03:21:23;../fake-data/blob/hipster.png;image/png;false;El Salvador Colon US Dollar Checking Account global
6;Baby;2019-11-05T20:22:27;2019-11-05T19:50:34;transmit Gabon;connecting Planner Refined;engage Granite Grocery;ONROAD;90315;2019-11-06T05:03:25;../fake-data/blob/hipster.png;image/png;true;Director
7;New York mesh;2019-11-05T21:49:50;2019-11-06T06:08:45;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;DELIVERED;49261;2019-11-05T23:59:32;../fake-data/blob/hipster.png;image/png;false;payment
8;robust;2019-11-05T19:26:09;2019-11-06T05:14:13;Rubber Shirt;Pakistan Rupee;Chicken;PICKEDUP;51523;2019-11-05T16:18:31;../fake-data/blob/hipster.png;image/png;true;Savings Account
9;Licensed Wooden Pants;2019-11-06T01:38:38;2019-11-05T23:59:14;Movies;Granite Island;Regional;DELIVERED;69039;2019-11-06T00:36:43;../fake-data/blob/hipster.png;image/png;false;online
10;Bulgarian Lev Cambridgeshire;2019-11-06T04:33:45;2019-11-05T10:13:45;Small Plastic Pizza primary;Savings Account Manager Guyana;Bedfordshire Auto Loan Account back-end;ONROAD;13311;2019-11-05T15:12:35;../fake-data/blob/hipster.png;image/png;true;connecting generate Music
