id;number;type;size;insurance
1;Concrete Towels Avon;CHASIS;FIFTYTHREE;Bedfordshire Strategist
2;Towels applications;TRAILER;FIFTYTHREE;eyeballs solid state sticky
3;orchid Tools;TRAILER;FIFTYTHREE;Borders hack
4;Pants;CHASIS;FORTYTHREE;calculating
5;withdrawal Toys white;CONTAINER;FIFTYTHREE;Florida THX Idaho
6;Licensed Visionary pixel;TRAILER;FIFTYTHREE;Small deposit microchip
7;Music Salad North Carolina;CONTAINER;FIFTYTHREE;Computers generating
8;users Guinea;CHASIS;FORTYTHREE;Squares Table Avon
9;optimal Peru;CONTAINER;FORTYTHREE;Armenian Dram
10;Global Soft Missouri;CONTAINER;FIFTYTHREE;system-worthy pixel Phased
