id;provider_number;provider;description;start_date;expiry_date
1;Generic B2B;olive;facilitate Persevering;2019-11-28;2019-11-28
2;Engineer Architect;Beauty dynamic schemas;Pound Sterling Keyboard;2019-11-27;2019-11-28
3;Usability models New Mexico;markets Accountability EXE;Chair;2019-11-27;2019-11-27
4;online Strategist Shirt;navigate redefine;generating bypassing Bypass;2019-11-27;2019-11-28
5;Movies;SMS;Zimbabwe parse Customer;2019-11-27;2019-11-27
6;Accounts navigating Ergonomic;purple User-friendly;Savings Account;2019-11-28;2019-11-27
7;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;2019-11-27;2019-11-27
8;PNG;Connecticut Burg;transmit Credit Card Account;2019-11-27;2019-11-27
9;Corporate;Industrial seamless;withdrawal Jamaica;2019-11-28;2019-11-27
10;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;2019-11-27;2019-11-27
