id;order_no;invoice_tax_total;invoice_sub_total;invoice_total;invoice_date;invoice_due_date;status
1;Towels Specialist;83893;59083;86040;2019-11-28;2019-11-28;PAID
2;interface;82786;76999;27154;2019-11-28;2019-11-27;GENERATED
3;relationships Philippine Peso;13835;72609;13274;2019-11-27;2019-11-27;PAID
4;bypass Ameliorated;18433;96264;8087;2019-11-27;2019-11-27;GENERATED
5;Handmade Tuna;93461;27993;63827;2019-11-27;2019-11-27;DRAFT
6;Louisiana;15864;75784;12016;2019-11-28;2019-11-27;DRAFT
7;solution;97951;70365;17533;2019-11-27;2019-11-28;VOIDED
8;e-business Light;64977;39850;4805;2019-11-27;2019-11-27;DRAFT
9;Optimization Cambridgeshire;53937;65869;68396;2019-11-28;2019-11-27;PARTIALLY_PAID
10;COM;63640;94023;80094;2019-11-27;2019-11-27;VOIDED
