id;start_date;end_date;language
1;2019-11-05T12:59:12;2019-11-05T12:45:09;FRENCH
2;2019-11-06T05:38:05;2019-11-05T09:29:48;FRENCH
3;2019-11-05T12:40:11;2019-11-05T19:57:58;SPANISH
4;2019-11-06T04:08:08;2019-11-05T22:27:56;FRENCH
5;2019-11-05T23:50:53;2019-11-05T18:58:16;ENGLISH
6;2019-11-06T01:04:51;2019-11-06T01:44:06;SPANISH
7;2019-11-06T06:02:14;2019-11-05T13:55:50;SPANISH
8;2019-11-06T04:39:31;2019-11-06T04:17:52;ENGLISH
9;2019-11-05T11:37:24;2019-11-05T20:58:51;ENGLISH
10;2019-11-06T04:02:51;2019-11-06T07:45:46;FRENCH
