id;order_nuber;description;shipment_number;bol;pickup;jhi_drop;pickup_location;drop_location;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;2019-11-27;2019-11-27;Music;Nakfa;Bahamian Dollar Investment Account;DELIVERED;75536;2019-11-27T23:52:01;../fake-data/blob/hipster.png;image/png;false;sky blue Georgia
2;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;2019-11-27;2019-11-27;interactive generating compelling;Home Loan Account;Plastic;ONROAD;19871;2019-11-28T00:18:15;../fake-data/blob/hipster.png;image/png;false;overriding
3;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;2019-11-27;2019-11-27;tangible Mississippi;Frozen bus;hard drive Robust Networked;ONROAD;11089;2019-11-28T06:44:16;../fake-data/blob/hipster.png;image/png;false;red
4;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;2019-11-27;2019-11-28;Web virtual deposit;Squares mint green e-business;Ghana back-end National;ONROAD;22793;2019-11-27T15:48:13;../fake-data/blob/hipster.png;image/png;false;copying
5;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;2019-11-27;2019-11-27;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;PICKEDUP;68070;2019-11-28T03:52:14;../fake-data/blob/hipster.png;image/png;true;Way Dominican Republic
6;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;2019-11-28;2019-11-27;magenta Refined Rubber Gloves;red firewall open-source;deposit Sausages;DELIVERED;34106;2019-11-27T13:42:11;../fake-data/blob/hipster.png;image/png;false;Global
7;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;2019-11-27;2019-11-28;Saint Helena Pound programming;AI optical invoice;Marketing;PICKEDUP;94013;2019-11-27T15:25:27;../fake-data/blob/hipster.png;image/png;true;clear-thinking
8;Latvia;Ports Manager Fish;Networked;Fish;2019-11-27;2019-11-27;calculating withdrawal Nevada;Berkshire;dedicated Persevering;ONROAD;79481;2019-11-27T22:56:46;../fake-data/blob/hipster.png;image/png;true;North Dakota Cambridgeshire
9;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human;2019-11-27;2019-11-27;Factors;architectures;Wisconsin Facilitator Incredible;INVOICED;26847;2019-11-27T23:44:31;../fake-data/blob/hipster.png;image/png;false;mesh
10;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;2019-11-27;2019-11-27;discrete redundant;Synergistic Personal Loan Account Sleek;Borders;PICKEDUP;37558;2019-11-27T17:27:19;../fake-data/blob/hipster.png;image/png;false;North Dakota Garden
